Name,Line,Sentiment,Irony
Harry Potter,"I can't let you out, Hedwig. I'm not allowed to use magic outside of school. Besides, if Uncle Vernon…",0.25,[ 1.7213827 -1.1460133]
Harry Potter,Now you've done it.,0.0,[-0.07285287  0.79852486]
Harry Potter,But she's bored! If I could only let outonly let out for an hour or two.,-0.3125,[ 1.9015676  -0.96064526]
Harry Potter,But I haven't had any messages from any of my friends… not one… all summer.,0.0,[ 1.2909385 -0.7612149]
Harry Potter,"I'll be in my bedroom, making no noise and pretending that I don't exist.",0.0,[0.12986405 0.5084733 ]
Dobby,"Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! Harry Potter! Such an honor it is!",0.0,[-0.3915156   0.80960417]
Harry Potter,Who are you?,0.0,[ 2.1991386 -1.200857 ]
Dobby,"Dobby sir, Dobby the house elf.",0.0,[ 1.2277764  -0.42584392]
Harry Potter,"Not to be to be rude or anything, but this isn't a great time for me to have a house elf in my bedroom.",0.25,[ 1.7921883 -1.2250087]
Dobby,"Oh, oh yes, sir! Dobby understands! It's just that, Dobby has come to tell you- it is difficult, sir- Dobby wonders where to begin?",-0.5,[ 1.6620129  -0.89654875]
Harry Potter,Why don't you sit down?,-0.1555555555555555,[ 1.7855091 -0.8546946]
Dobby,"S-sit down? S-sit- sit down? Oh, oh, ho. Oh, ho, ho… Oh, ho, ho. Ohh, ho, hoo…",-0.1555555555555555,[ 1.824102 -1.035241]
Harry Potter,"Dobby, ssh! I'm sorry! I didn't mean to offend you, or anything.",-0.46875,[ 1.2052051 -0.5616474]
Dobby,"Offend Dobby? Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal.",-0.0777777777777777,[ 1.5796701 -0.8432815]
Harry Potter,You can't have met many decent wizards then.,0.3333333333333333,[0.15120135 0.09610537]
Dobby,"No, I haven't. That was an awful thing to say. Bad Dobby!",-0.9375,[ 1.6642082 -0.9649479]
Harry Potter,"Stop, Dobby!",0.0,[ 1.2351999  -0.41203612]
Dobby,Bad Dobby!,-0.8749999999999998,[ 1.3162383  -0.45751044]
Harry Potter,"Dobby, shh!",0.0,[ 1.3431383 -0.5097513]
Dobby,Baaad Dobby!,0.0,[ 1.3484964  -0.49459776]
Harry Potter,"Dobby, please stop!",0.0,[ 1.4141023  -0.61791694]
Dobby,Bad Dobby. Bad Dobby!,-0.7874999999999999,[ 1.6419449  -0.84226406]
Harry Potter,"Stop! Stop, Dobby. Please be quiet! Are you all right?",0.1428571428571428,[ 1.9172679 -1.0145257]
Dobby,"Dobby had to punish himself, sir. Dobby almost spoke ill of his family, sir.",-0.5,[ 1.449745   -0.73193455]
Harry Potter,Your family?,0.0,[ 1.6700423 -0.8561981]
Dobby,"The wizard family Dobby serves, sir. Dobby is bound to serve one family forever. If they ever knew Dobby was here…ooh… But Dobby had to come. Dobby has to protect Harry Potter- to warn him. Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! There is a plot, a plot to make most terrible things happen.",-0.1666666666666666,[ 1.354376   -0.82117265]
Harry Potter,What terrible things? Who's plotting them?,-1.0,[ 1.753619  -1.0750948]
Dobby,Ooo… er… can't… say… argh...,0.0,[ 1.6423084 -1.2501258]
Harry Potter,Ok– I- understand. You can't- say.,0.0,[ 1.6743659 -1.0684838]
