Name,Line,Sentiment,Irony
Dudley Dursley,"Oh, it's you.",0.0,[-0.37464932  1.0777203 ]
Gang thug,"What should we do with him, Big D?",0.0,[ 2.4282277 -1.5753107]
Harry Potter,"Big D? Cool name, but to me, you'll always be Ikkle Duddicums.",0.175,[ 1.5551466  -0.61825365]
Dudley Dursley,Shut up!,0.0,[0.24254087 0.4903132 ]
Dudley Dursley,"Ooo, tough guy. Not so tough in your bed, are you?",-0.3888888888888889,[ 1.2789097  -0.57222754]
Harry Potter,What?,0.0,[ 1.4070889  -0.49027973]
Arabella Figg,"You boys go home now, or I'll be calling your parents!",0.0,[ 1.8180367 -0.9128099]
Dudley Dursley,"I heard you talking in your sleep, last night. Crying. ""No, don't kill Cedric, don't kill Cedric! Dad, help me, heeelp me! He's going to kill me! Boo-hoo!""",-0.244140625,[ 1.7907315 -0.8019013]
Harry Potter,"Shut up, Dudley. I'm warning you...",0.0,[ 1.3727742 -0.6693507]
Dudley Dursley,Why should I?,0.0,[ 1.9989027 -1.200605 ]
Harry Potter,Because if you don't I'll turn you into the idiot pig you are!,-1.0,[ 1.3087822 -0.3849162]
Harry Potter,"Not so brave now, are you Duddykins? Now tell your little friends to go away.",0.30625,[0.5505721  0.11888478]
Dudley Dursley,G-go home!,0.0,[ 1.2831503  -0.37559763]
Gang thug,What?,0.0,[ 1.4070889  -0.49027973]
Dudley Dursley,Get out of here!,0.0,[ 1.3332127 -0.5663158]
Harry Potter,Don't you ever speak about that again. You understand?,0.0,[ 1.622555   -0.85698664]
Dudley Dursley,Don't point that thing at me!,0.0,[ 1.8346587 -1.0179466]
Harry Potter,"I said, DO YOU UNDERSTAND? !",0.0,[ 1.154393   -0.32320234]
Dudley Dursley,What's happening?,0.0,[ 2.0078354 -1.0701348]
Harry Potter,Quiet!,0.0,[ 1.1260018  -0.15372112]
Harry Potter,Dudley! Run!,0.0,[ 1.4337323  -0.73074615]
Harry Potter,"Come on! They break into a run. A dementor drifts into the alleyway in front of them. Skidding to a stop, Harry turns around, to find the other dementor cutting off the way back.",-0.2416666666666666,[ 1.3331645 -0.7304151]
Harry Potter,"Dudley, no!",0.0,[ 1.5992875 -0.7581091]
Harry Potter,Lumos!,0.0,[0.20715292 0.48247394]
