Name,Line,Sentiment,Irony
Rufus Scrimgeour,"These are dark times, there is no denying.  Our world has perhaps faced no greater threat than it does today.  But I say this to our citizenry:  we, ever your servants, continue to defend your liberty and repel the forces that would seek to take it from you. Your Ministry remains strong...",0.011111111111111,[ 0.77266675 -0.29925355]
Mrs. Granger,"Hermione.  Your tea is ready, dear.",0.2,[-0.40542462  0.6981912 ]
Hermione Granger,"Coming, Mum.",0.0,[0.38305503 0.34250483]
Mrs. Granger,Don't you look lovely.  All packed?,0.5,[-0.32525826  0.7609148 ]
Mr. Granger,Are you sure these biscuits are sugar-free?,0.5,[ 1.8261229 -1.2089106]
Mrs. Granger,"Quite sure, dear.  See the big bold letters that say 'Sugar Free'?  Dead giveaway.",0.2066666666666667,[-1.1367302  1.2801296]
Mr. Granger,"Mm.  Yes. Hello, kitten.  Don't you look lovely.",0.5,[-0.3977415   0.76591605]
Mrs. Granger,"Darling, don't be suspicious the biscuits taste so good, be grateful the company's so clever...",0.4333333333333333,[0.01205355 0.33752954]
Hermione Granger,Obliviate.,0.0,[ 0.7243049  -0.06027003]
Hermione Granger,Goodbye.,0.0,[ 0.82430357 -0.02375224]
Ron Weasley,What are those?,0.0,[ 2.0814304 -1.1456497]
Arthur Weasley,Close the door.,0.0,[ 0.7793459  -0.22441107]
Arthur Weasley,"These are for the Order.  So many are on the run now, it helps them to stay connected with the rest of us.  Know they're not alone...",0.5,[-0.29437828  0.58439046]
Ron Weasley,C'mon.  Mum's got dinner ready.,0.2,[-0.6847521  1.3260572]
Voldemort,Severus.  I was beginning to worry you'd lost your way.  Come.  I've saved you a seat.,0.0,[ 0.6958874  -0.11425076]
Voldemort,"You know our hosts, of course, Severus.  Narcissa in particular has been most hospitable.  Lucius, on the other hand, is, I fear, burdened by my presence.  Are you, Lucius?",0.1805555555555555,[ 0.66896296 -0.24835038]
Lucius Malfoy,My lord?,0.0,[ 1.7474896 -0.7644011]
Voldemort,Are you burdened?,0.0,[ 2.069554  -1.4071101]
Narcissa Malfoy,My lord is always welcome here.,0.8,[ 0.8676295  -0.20454058]
Voldemort,"You bring news I trust, Severus?",0.0,[-0.04717818  0.4414255 ]
Severus Snape,It will happen Saturday next.  At nightfall.,0.0,[-0.35946283  0.63760656]
Voldemort,And this information comes --,0.0,[ 0.7606844  -0.17955804]
Severus Snape,-- from the source we discussed.,0.0,[ 1.3900194  -0.71941346]
Corban Yaxley,"I have heard differently, my lord. Dawlish, the Auror, let slip that the Potter boy will not be moved until the thirtieth of this month, the night before he turns seventeen.",0.0,[ 1.7332588 -1.1534845]
Severus Snape,This is a false trail.  The Auror Office no longer plays any part in the protection of Harry Potter. Those closest to him believe we have infiltrated the Ministry.,-0.4000000000000001,[-0.5328355  0.7254737]
Death Eater,"Well, they've got that right, then, 'aven't they?",0.2857142857142857,[-0.09927554  0.52120405]
Voldemort,"Pius, what say you?",0.0,[ 2.1785781 -1.1168066]
Pius Thicknesse,"One hears many things, my lord. Whether the truth is among them is not clear.",0.225,[ 2.077165  -1.3174495]
Voldemort,"Spoken like a true politician. You will, I think, prove most useful, Pius.  Where will he be taken?  The boy?",0.3833333333333333,[0.19615492 0.3101991 ]
Severus Snape,"To a safehouse.  Likely the home of someone in the Order.  I'm told it has been given every manner of protection possible. Once there, it will be impractical to attack him.  We may have compromised the Ministry, but there are those who remain loyal to him.  As long as the Ministry stands, his allies within will have the means at their disposal to insure his safety.",0.0708333333333333,[0.11718801 0.24720556]
Bellatrix Lestrange,"My lord, if I might, I'd like to volunteer myself for this task. I'd like to kill the boy.",0.0,[ 1.8044724 -1.0336751]
Voldemort,Wormtail!  Have I not spoken to you about keeping our guest quiet?,0.0,[-0.33745825  0.617775  ]
Peter Pettigrew,"Yes, m-my lord.  Right away, my lord.",0.2857142857142857,[ 0.74455225 -0.06063453]
Voldemort,"As inspiring as I find your bloodlust, Bellatrix, I must be the one to kill Harry Potter.  But I face an unfortunate complication.  It has recently come to my attention that my wand and Potter's share the same core. They are, in some ways, twins.  We can wound but not fatally harm one another.  Which means, if I am to kill him... I will have to do it with another's wand.",0.0,[ 0.68311787 -0.13474253]
Voldemort,"Come now.  Surely one of you would like the honor?  What about... you, Lucius?",0.5,[ 0.45289278 -0.09616648]
Voldemort,I require your wand.,0.0,[ 1.6754138 -0.7677792]
Voldemort,Do I detect elm?,0.0,[ 1.9728781 -1.2114898]
Lucius Malfoy,"Yes, my lord.",0.0,[ 0.93918735 -0.09736676]
Voldemort,And the core?,0.0,[ 1.8168286 -0.9368126]
Lucius Malfoy,Dragon -- dragon heartstring.,0.0,[ 0.72891927 -0.07803117]
Voldemort,My wand?  You can't possibly think I would give you my wand.,0.0,[0.12896484 0.18856537]
Lucius Malfoy,"No, my lord.",0.0,[ 1.2537115  -0.39938524]
Voldemort,"For those of you who do not know, we are joined tonight by Miss Charity Burbage who until recently taught at Hogwarts School of Witchcraft and Wizardry.  Her specialty was Muggle studies. It is Miss Burbage's belief that Muggles are not so different from us.",0.0,[-0.6337319   0.87743986]
