Name,Line,Sentiment,Irony
Old man,Bloody kids.,-0.8,[-0.27155107  0.91108185]
Peter Pettigrew,Oh no no no my Lord Voldemort. I only meant... perhaps if we were to do it without the boy..,0.0,[ 1.8133986 -1.1044518]
Voldemort,"NO! The boy is everything, it cannot be done without him and it WILL be done exactly as I say.",0.25,[ 2.2426116 -1.5133934]
Bartemius Crouch Junior,I will not disappoint you my lord.,0.0,[ 1.679341  -0.8267283]
Voldemort,"Good. First, gather our old comrades. Send them a sign.",0.35,[ 1.5450968 -0.8064759]
Voldemort,Nagini tells me the old caretaker is standing outside the door.,0.05,[ 0.7991556 -0.259626 ]
Voldemort,Step aside so I can give our guest a proper greeting.,0.0,[0.23617814 0.2728839 ]
Hermione Granger,Harry!,0.0,[0.30420303 0.4009848 ]
Hermione Granger,Are you alright?,0.0,[ 2.1051316 -1.2172284]
Harry Potter,Hermione. Bad dream. When did you get here?,-0.6999999999999998,[ 1.9690285 -1.4808717]
Hermione Granger,Just now. You?,0.0,[ 2.0561697 -1.221395 ]
Harry Potter,Last night.,0.0,[0.37821063 0.38443562]
Hermione Granger,Wake up. Wake up Ronald!,0.0,[ 1.4094795  -0.67795056]
Ron Weasley,Bloody hell.,-0.8,[0.68402314 0.09181969]
Hermione Granger,"Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready.",0.2666666666666666,[ 1.4052863  -0.71454734]
Harry Potter,Where are we actually going?,0.0,[ 2.1810274 -1.3302879]
Ron Weasley,Don't know. Hey Dad! Where are we going?,0.0,[ 2.2443209 -1.4615077]
Arthur Weasley,"Haven't the foggiest, keep up!",0.0,[ 2.072698  -1.3013881]
Amos Diggory,Arthur! It's about time son.,0.0,[ 1.1374233  -0.32035103]
Arthur Weasley,"Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry. And this strapping young lad must be Cedric, am I right?",-0.0380952380952381,[ 1.4555316  -0.86263007]
Cedric Diggory,Yes sir.,0.0,[0.26986057 0.28475237]
Amos Diggory,"Merlin's beard, you must be Harry Potter.",0.0,[ 1.0471599 -0.4951036]
Harry Potter,Yes sir. This way.,0.0,[ 1.2872325 -0.5277175]
Amos Diggory,Great great pleasure.,0.8,[-1.608776   1.7740381]
Harry Potter,Pleasure to meet you too sir.,0.0,[ 0.80060154 -0.13642994]
Arthur Weasley,"That's it sir, just over there.",0.0,[ 1.5497288  -0.61812603]
Amos Diggory,Shall we? We don't want to be late.,-0.3,[ 1.3887391 -0.7412492]
Harry Potter,Why are they all standing around that manky old boot?,0.1,[ 1.458096  -0.6231674]
Fred Weasley,That isn't just any old manky boot mate.,0.1,[ 1.7107248  -0.80689996]
George Weasley,It's a portkey.,0.0,[ 0.933568  -0.1308823]
Amos Diggory,Time to go. Ready?,0.2,[ 2.1388068 -1.3622158]
Harry Potter,What's a 'portkey'?,0.0,[ 1.5358948  -0.68446547]
Amos Diggory,After 3. One... Two...,0.0,[ 1.426578 -1.013977]
Arthur Weasley,Harry!,0.0,[0.30420303 0.4009848 ]
Amos Diggory,Three!,0.0,[0.28675422 0.4106054 ]
Arthur Weasley,Let go kids!,0.0,[0.31962916 0.32911584]
Hermione Granger,What??,0.0,[ 1.1952584  -0.33562657]
Arthur Weasley,Let! Go!,0.0,[ 1.1542526  -0.54492366]
Arthur Weasley,I bet that cleared your sinuses eh?,0.0,[-0.9900765  1.1366469]
Harry Potter,Thanks.,0.2,[-0.37032345  0.8757285 ]
Arthur Weasley,"Well kids, welcome to the Quidditch World Cup!",1.0,[-0.8915042  1.2704513]
Amos Diggory,"Parting of the waves I think old chap, see you at the match.",0.1,[ 1.6370977 -0.7951323]
Harry Potter,See ya later Cedric.,0.0,[ 1.6001303 -0.6550502]
Arthur Weasley,Home sweet home.,0.35,[-0.07105941  0.6717014 ]
Arthur Weasley,"Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry.",0.0,[ 1.6794132  -0.91062456]
Fred Weasley,Yeah get out of the kitchen Ron.,0.0,[0.1827459  0.46439502]
George Weasley,Yeah get out of the kitchen Ron.,0.0,[0.1827459  0.46439502]
Arthur Weasley,Feet off the table.,0.0,[ 1.6528102  -0.74445134]
Fred Weasley,Feet off the table.,0.0,[ 1.6528102  -0.74445134]
George Weasley,Feet off the table.,0.0,[ 1.6528102  -0.74445134]
Harry Potter,I love magic.,0.5,[-1.051341   1.2468966]
Ron Weasley,"Blimey Dad, how far up are we?",0.1,[ 2.2580628 -1.3457347]
Lucius Malfoy,"Well put it this way, if it rains... you'll be the first to know",0.25,[ 1.2282653  -0.56241924]
Draco Malfoy,"Father and I are in the minister's box, by personal invitation of Cornelius Fudge himself.",0.0,[ 1.0906026 -0.5691811]
Lucius Malfoy,Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can.,0.4,[ 1.9270617 -1.2578129]
Arthur Weasley,"Come on up, take your seats. I told you these seats would be worth waiting for.",0.3,[0.19389981 0.5356256 ]
George Weasley,Come on!,0.0,[ 1.0520016  -0.29871398]
Fred Weasley,It's the Irish!,0.0,[-0.3442835  1.0451955]
George Weasley,Here come the Bulgarians!,0.0,[-0.0886146  0.7475284]
Fred Weasley,Krum!!!,0.0,[0.51289296 0.24187875]
George Weasley,Krum!!!,0.0,[0.51289296 0.24187875]
Ron Weasley,Krum!!!,0.0,[0.51289296 0.24187875]
George Weasley,Yes!,0.0,[0.46695566 0.27137807]
Announcer,Good evening! It gives me great pleasure to welcome each and every one of you to the final of the 422nd Quidditch World Cup. Let the match begin!,0.61875,[ 1.3147131 -0.5767777]
Ron Weasley,"There's no one like Krum. He's like a bird the way he rides the wind. He's more than an athlete, he's an artist.",0.5,[ 1.8997346 -0.9950767]
Ginny Weasley,Think you're in love Ron?,0.5,[ 1.6076535  -0.90857464]
Fred Weasley,Viktor I love you! Viktor I do!,0.78125,[ 1.2907056 -0.5464156]
George Weasley,Viktor I love you! Viktor I do!,0.78125,[ 1.2907056 -0.5464156]
Fred Weasley,When we're apart my heart beats only for youuu!,0.0,[ 1.5542616 -0.6498864]
George Weasley,When we're apart my heart beats only for youuu!,0.0,[ 1.5542616 -0.6498864]
Harry Potter,When we're apart my heart beats only for youuu!,0.0,[ 1.5542616 -0.6498864]
Fred Weasley,Sounds like the irish have got their pride on.,0.0,[-1.0538001  1.5583882]
Arthur Weasley,Stop! Stop it. It's not the irish. We've gotta get out of here. Now.,0.0,[ 1.5941725  -0.79689914]
Arthur Weasley,"Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility.",0.0,[ 1.9490491 -1.1370606]
Ron Weasley,Been looking for you for ages. Thought we lost you.,0.0,[ 1.8789823 -1.1166724]
Harry Potter,What is that?,0.0,[ 2.0403779 -1.0718771]
Arthur Weasley,Stop! That's my son.,0.0,[ 1.1472099 -0.3233444]
Arthur Weasley,"Ron, Harry, Hermione are you alright?",0.0,[ 2.0726771 -1.1806997]
Bartemius Crouch,Which of you conjured this?,0.0,[ 1.7855783 -1.132862 ]
Arthur Weasley,You can't possibly..,0.0,[ 1.2001803 -0.6301284]
Bartemius Crouch,Do not lie! You have been discovered at the scene of the crime!,0.0,[ 1.6073315 -1.0935166]
Harry Potter,Crime?,0.0,[ 1.0980905 -0.3156207]
Arthur Weasley,"Barty, they're just kids.",0.0,[-0.1047314  0.742619 ]
Harry Potter,What crime?,0.0,[ 1.6138134  -0.83073556]
Hermione Granger,Harry it's his mark.,0.0,[0.6427753  0.05611957]
Harry Potter,"Those people tonight, in the masks... they're his too aren't they? they're his followers.",0.0,[0.07303878 0.46671462]
Bartemius Crouch,Follow me.,0.0,[ 1.1770643  -0.47090253]
Harry Potter,There was a man. Before. There.,0.0,[ 1.04101    -0.64029646]
Bartemius Crouch,"All of you, this way.",0.0,[ 0.9402759  -0.13481358]
Arthur Weasley,"Harry, who?",0.0,[ 1.855191   -0.98110396]
Harry Potter,I dunno. I didn't see his face.,0.0,[ 1.8891819 -1.0301456]
Trolley witch,Anything from the trolley? Anything from the trolley?,0.0,[ 2.2883034 -1.4932233]
Trolley witch,Anything from the trolley dears?,0.0,[ 2.1807172 -1.2025503]
Ron Weasley,Packet of drewbals and a liquorice wand.,0.0,[ 1.0221249 -0.3602394]
Ron Weasley,"On second thought, just the drewbals.",0.0,[ 1.0840855 -0.3511927]
Harry Potter,It's alright I'll get it.,0.0,[0.50529283 0.25529635]
Ron Weasley,"Just the drewbals, thanks.",0.2,[-0.9092042  1.2835056]
Cho Chang,Two pumpkin pasties please.,0.0,[ 1.3383175  -0.56772316]
Cho Chang,Thank you.,0.0,[-0.3281238   0.90289474]
Trolley witch,Anything sweet for you dear?,0.35,[ 2.199683  -1.4548275]
Harry Potter,Oh no thank you I'm not hungry.,0.0,[-1.6908816  1.8378655]
Hermione Granger,"This is horrible, how can the ministry not know who conjured it. Isn't there any security or?",-1.0,[ 1.6171837 -0.9342957]
Ron Weasley,"Loads according to Dad, that's what worried them so much. Happened right under their noses.",0.2428571428571428,[-0.28165314  0.6403261 ]
Hermione Granger,"It's hurting again isn't it, your scar.",0.0,[0.63208675 0.14309174]
Harry Potter,I'm fine.,0.4166666666666667,[0.10269005 0.7472039 ]
Hermione Granger,"You know Sirius will want to hear about this. What you saw at the world cup, and the dream.",0.0,[ 1.0193676  -0.36347866]
Rubeus Hagrid,Clear the runway.,0.1,[0.36264327 0.26375774]
Harry Potter,Well there's something you don't see every day.,0.0,[0.3952542  0.18339685]
Albus Dumbledore,"Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen...",0.2321428571428571,[ 1.5110806  -0.88513345]
