Name,Line,Sentiment,Irony
Bellatrix Lestrange,Narcissa!,0.0,[ 0.80685407 -0.00674157]
Bellatrix Lestrange,Cissy! You mustn't do this.  He can't be trusted.,0.0,[0.04448005 0.44380546]
Narcissa Malfoy,The Dark Lord trusts him.,-0.15,[0.41416815 0.19114086]
Bellatrix Lestrange,The Dark Lord is mistaken.,-0.15,[ 1.188468   -0.44908276]
Bellatrix Lestrange,Or so I believe.,0.0,[0.14950229 0.46571326]
Narcissa Malfoy,"Well, who can one trust these days?",0.0,[ 1.5846081  -0.89379543]
Bellatrix Lestrange,He lives in this Muggle dunghill?,0.0,[ 1.3815317 -0.803932 ]
Severus Snape,"Run along, Wormtail.",0.0,[ 0.77253014 -0.15168837]
Narcissa Malfoy,"I've nowhere else to turn, Severus.",0.0,[ 1.6396112 -0.7869878]
Bellatrix Lestrange,You must be joking.,0.0,[0.62371314 0.05951786]
Narcissa Malfoy,I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --,-0.15,[ 1.7999269 -1.1179157]
Severus Snape,"If the Dark Lord has forbidden it, you ought not to speak.",-0.15,[ 1.9909234 -1.2578273]
Severus Snape,"Put it down, Bella.  We mustn't touch what isn't ours. As it so happens I'm aware of your situation, Narcissa.",0.0472222222222222,[0.40842354 0.07854352]
Bellatrix Lestrange,You? The Dark Lord told you?,-0.15,[ 1.1793194 -0.6177571]
Severus Snape,"Your sister doubts me, Narcissa. Understandable.",0.0,[ 0.85696304 -0.24696168]
Severus Snape,Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time.,1.0,[-1.0800211  1.4125911]
Severus Snape,Dumbledore is a great wizard. Only a fool would question it.,0.4,[0.4057773  0.01671961]
Narcissa Malfoy,"I... I don't doubt you, Severus.",0.0,[ 1.5993993  -0.83755225]
Bellatrix Lestrange,"You should feel honored, Cissy. As should Draco --",0.0,[ 0.96817076 -0.3416795 ]
Narcissa Malfoy,He's just a boy!,0.0,[ 0.82965004 -0.06290049]
Severus Snape,I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection.,-0.075,[ 0.78427213 -0.35928905]
Narcissa Malfoy,"Do you mean it, Severus?",-0.3125,[ 2.0052087 -1.2025573]
Severus Snape,I can try.,0.0,[ 0.7648853  -0.04468227]
Narcissa Malfoy,"Oh, Severus, please, if you would... I would be forever in your debt.",0.0,[ 1.4465423 -0.8312938]
Bellatrix Lestrange,Swear to it.,0.0,[ 0.9200568  -0.09585755]
