Name,Line,Sentiment,Irony
Harry Potter,Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!,0.0,[ 1.993479  -1.2431515]
Petunia Dursley,"Harry! Harry! Harry, open the door! Marge! How lovely to see...",0.25,[-0.37448078  0.7828633 ]
Harry Potter,"Uncle Vernon, I need you to sign this form.",0.0,[ 1.361444  -0.5930096]
Vernon Dursley,What is it?,0.0,[ 2.3177986 -1.2638291]
Harry Potter,Nothing. School stuff.,0.0,[0.58757037 0.06012474]
Vernon Dursley,"Later perhaps, if you behave.",0.0,[ 1.2005153  -0.59005183]
Harry Potter,I will if she does.,0.0,[ 1.1642948  -0.41761187]
Marge Dursley,"Oh, you're still here, are you?",0.0,[ 1.6114453  -0.88049126]
Harry Potter,Yes.,0.0,[0.35707045 0.19407645]
Marge Dursley,"Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!",0.1779296874999999,[ 2.2584422 -1.5170798]
Vernon Dursley,Take Marge's suitcase upstairs!,0.0,[ 1.4569705 -0.7564088]
Harry Potter,Okay.,0.5,[0.18276119 0.53094673]
Marge Dursley,"Finish that off for Mommy. Good boy, Rippy-pooh.",0.7,[ 1.0371823 -0.3077006]
Vernon Dursley,"Can I tempt you, Marge?",0.0,[ 2.0357487 -1.2916545]
Marge Dursley,"Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?",0.2008928571428571,[ 2.3137097 -1.6374238]
Vernon Dursley,St. Brutus'. It's a fine institution for hopeless cases.,0.4166666666666667,[-0.7345374  1.2410171]
Marge Dursley,"Do they use a cane at St. Brutus', boy?",0.0,[ 1.7255812 -1.0437983]
Harry Potter,"Oh, yeah. Yeah. I've been beaten loads of times.",0.0,[-0.04786945  0.40329817]
Marge Dursley,"Excellent. I won't have this namby-pamby... wishy-washy nonsense about not beating people who deserve it. You mustn't blame yourself about how this one turned out. It's all to do with blood. Bad blood will out. What is it the boy's father did, Petunia?",0.15,[ 1.8534933 -1.1686978]
Petunia Dursley,Nothing. He didn't work. He was unemployed.,0.0,[ 1.430233  -1.0403726]
Marge Dursley,"And a drunk too, no doubt?",-0.5,[ 1.581552  -0.8942945]
Harry Potter,That's a lie!,0.0,[0.5006547  0.17379665]
Marge Dursley,What did you say?,0.0,[ 2.133524  -1.2152016]
Harry Potter,My dad wasn't a drunk!,-0.625,[ 0.87690187 -0.19467062]
Marge Dursley,"Oh, don't worry Don't fuss, Petunia. I have a very firm grip.",-0.26,[ 1.4567335 -0.74735  ]
Vernon Dursley,I think it's time you went to bed.,0.0,[ 1.5741084 -0.7566878]
Marge Dursley,"Quiet, Vernon. You, clean it up. Actually, it's nothing to do with the father. It's all to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup.",-0.1266666666666666,[ 1.7932464 -1.1016963]
Harry Potter,Shut up! Shut up!,0.0,[0.40481174 0.28689042]
Marge Dursley,"Mm. Right! Let me tell you... y-y-- Vernon! Vernon! Vernon, do something!",0.6975446428571428,[ 1.9732885 -1.1550403]
Vernon Dursley,"Ow! Ripper! Ow! Ripper, get down, boy! Down! Ripper, stop it! Stop! I've got you, Marge! I've got you! Hold on, hold on! Get off!",-0.4680955674913194,[ 1.9154288 -1.125886 ]
Marge Dursley,Don't you dare!,0.0,[ 1.6418173  -0.91668046]
Vernon Dursley,Sorry!,-0.625,[0.10716387 0.6065563 ]
Petunia Dursley,"Oh, Vernon!",0.0,[-0.7969766  1.2816254]
Vernon Dursley,"Oh, God! Marge! Please! Marge! Come back! You bring her back! You bring her back now and you put her right!",0.0892857142857142,[ 2.160988  -1.3000957]
Harry Potter,No! She deserved what she got! Keep away from me.,0.0,[ 1.6343312 -0.7930553]
Vernon Dursley,You're not allowed to do magic outside school.,0.25,[ 0.56837535 -0.22417614]
Harry Potter,Yeah? Try me.,0.0,[0.6186511  0.02324597]
Vernon Dursley,They won't let you back now. You've nowhere to go.,0.0,[ 2.0397413 -1.2546585]
Harry Potter,I don't care. Anywhere's better than here.,0.5,[ 1.8027129 -0.9643926]
Stanley Shunpike,"Welcome to the Knight Bus... emergency transport for the stranded witch or wizard. My name is Stan Shunpike, and I will be your conductor for this evening. What you doing down there?",0.3222222222222222,[ 1.9952224 -1.2549626]
Harry Potter,I fell over.,0.0,[0.55226505 0.0814831 ]
Stanley Shunpike,What you fall over for?,0.0,[ 2.1602228 -1.2453767]
Harry Potter,I didn't do it on purpose.,0.0,[ 1.0892675  -0.47252676]
Stanley Shunpike,"Well, come on, then. Let's not wait for the grass to grow. What you looking at?",0.0,[ 2.0479214 -1.3399043]
Harry Potter,Nothing.,0.0,[0.23486981 0.37907198]
Stanley Shunpike,"Well, come on, then. In. No, no, no. I'll get this. You get in. Come on. Come on. Move on, move on, move on.",0.0,[ 2.0201008 -1.2667061]
Stanley Shunpike,"Take her away, Ern.",0.0,[ 1.3485732  -0.48044392]
Shrunken head,"Yeah, take it away, Ernie. It's going to be a bumpy ride.",0.0,[ 1.2207357  -0.56470126]
Stanley Shunpike,What did you say your name was again?,0.0,[ 2.0608752 -1.1141834]
Harry Potter,I didn't.,0.0,[ 0.70830905 -0.04269594]
