Unnamed: 0,Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
0,Happy Hogan,iron_man_3.txt,(to Maya.) Half hour till the ball drops.,-0.1666666666666666,[ 1.7299767  -0.73228824],[ 1.6379403 -1.4895048],0.02591228485107422
1,Tony Stark,iron_man_3.txt,"Hey, do you want...?",0.0,[ 2.139014  -1.4654235],[ 1.8985254 -2.0477803],0.13866738975048065
2,Happy Hogan,iron_man_3.txt,"I got you, pal.",0.0,[ 1.0379758 -0.1950588],[ 1.5224721 -1.4306282],0.12407386302947998
3,Tony Stark,iron_man_3.txt,I gave a speech? How was it?,0.0,[ 1.3553109  -0.66220456],[ 2.0382204 -1.9406248],0.07346433401107788
4,Happy Hogan,iron_man_3.txt,Pitiful,0.0,[0.01061657 0.6718307 ],[ 1.0332853 -1.0397046],0.06363710761070251
5,Maya Hansen,iron_man_3.txt,Unintelligible.,0.0,[0.47925034 0.39487514],[ 1.4693638 -1.2572392],0.027583837509155273
6,Tony Stark,iron_man_3.txt,Really?,0.2,[ 1.025617   -0.31121793],[ 1.1886078 -1.1071012],0.05093225836753845
7,Maya Hansen,iron_man_3.txt,Mmm-hmm.,0.0,[ 0.88400936 -0.25926173],[ 1.4338024 -1.3756517],0.040786921977996826
8,Tony Stark,iron_man_3.txt,"It's my favorite kind, a winning combo.",0.5333333333333333,[0.49099866 0.09245432],[ 1.4392837 -1.4142188],0.0639948844909668
9,Maya Hansen,iron_man_3.txt,Where are we going?,0.0,[ 2.2329865 -1.3300048],[ 1.4768624 -1.5442382],0.031038671731948853
10,Tony Stark,iron_man_3.txt,"Uh, to town on each other, probably back in your room. Cause I also wanna see your research.",-0.0625,[ 1.5720248 -0.9562095],[ 1.6101438 -1.7221793],0.14344888925552368
11,Maya Hansen,iron_man_3.txt,"Okay, you can see my research, but that's...I'm not gonna show you my ""town.""",0.5,[ 1.9505131 -1.3701456],[ 1.9497613 -2.0315826],0.11464790999889374
12,Tony Stark,iron_man_3.txt,"Oh, I finally met a man called ""Ho.""",0.0,[-0.50602436  0.99902844],[ 1.8196515 -2.0800984],0.06915012001991272
13,Tony Stark,iron_man_3.txt,"[to Wu] Oh, this guy.",0.0,[0.8826826  0.04608586],[ 1.4949044 -1.6738117],0.05094149708747864
14,Tony Stark,iron_man_3.txt,"Hey. (Dr. Wu greets Tony in mandarin as they shake hands.) You're a heart doctor. She's going to need a cardiologist after I... (Tony turns, starts blowing on his party horn & walks away with Maya.)",0.0,[ 0.76109815 -0.10702211],[ 1.3302981 -1.4523934],0.14830699563026428
15,Maya Hansen,iron_man_3.txt,Bye.,0.0,[ 1.3802972 -0.518535 ],[ 0.9596808 -0.820585 ],0.07178306579589844
16,Aldrich Killian,iron_man_3.txt,Mr. Stark!,-0.25,[0.8009823  0.02673631],[ 1.3656467 -1.5553088],0.033113032579422
17,Aldrich Killian,iron_man_3.txt,"Oh, wow! Hey, Tony! Aldrich Killian. (Stuttering To Maya) I'm a big fan of your work!",0.078125,[ 1.028679   -0.23869142],[ 2.0711944 -2.3026335],0.17373035848140717
18,Maya Hansen,iron_man_3.txt,My work?,0.0,[ 1.0258698  -0.48449737],[ 1.8569077 -1.7623373],0.10821923613548279
19,Tony Stark,iron_man_3.txt,Who isn't? He means me.,0.0,[ 1.435336  -0.7987637],[ 1.7716553 -1.927092 ],0.1169356107711792
20,Aldrich Killian,iron_man_3.txt,"Well, of course. But, Miss Hansen, my organization has been tracking your research since year two of MIT.",0.0,[-0.390127   0.5196494],[ 1.9559262 -2.0122056],0.055027276277542114
21,Happy Hogan,iron_man_3.txt,"Yeah, we're full.",0.35,[-0.12442409  0.70316255],[ 1.280728  -1.2231114],0.03861537575721741
22,Tony Stark,iron_man_3.txt,"Oh, wow. He made it. He made the cut.",0.1,[-0.11909125  0.8289289 ],[ 1.5202972 -1.503678 ],0.03841215372085571
23,Happy Hogan,iron_man_3.txt,"What floor are you going to, pal?",0.0,[ 2.3889303 -1.476723 ],[ 1.6307441 -1.6724771],0.08327671885490417
24,Aldrich Killian,iron_man_3.txt,"Oh, now, that is an appropriate question. The ground floor, actually. I've got a proposal I'm putting together with myself. It's a privately funded think tank called, Advanced Idea Mechanics. [He holds out two business cards towards Tony and Maya]",0.225,[ 1.5922731  -0.96640843],[ 2.0654547 -2.1530528],0.024813354015350342
25,Tony Stark,iron_man_3.txt,Uh... she'll take both.,0.0,[ 1.4565226 -0.7470624],[ 0.9135362 -0.9083051],0.0897015631198883
26,Maya Hansen,iron_man_3.txt,Okay. [takes the cards],0.5,[ 1.7761104 -0.8766312],[ 1.3821023 -1.4731581],0.01926538348197937
27,Tony Stark,iron_man_3.txt,One to throw away and one to not call.,0.0,[ 2.3159726 -1.3759607],[ 1.3413159 -1.2475119],0.020486176013946533
28,Aldrich Killian,iron_man_3.txt,"Advanced Idea Mechanics, or AIM for short. (Points to the logo on his shirt) Do you get it?",0.2,[ 1.5388279 -0.9251278],[ 2.1216507 -2.120757 ],0.027279645204544067
29,Tony Stark,iron_man_3.txt,"I see that, cause it's on your t-shirt.",0.0,[0.5003172  0.15214291],[ 1.6537645 -1.5978748],0.08548176288604736
30,Aldrich Killian,iron_man_3.txt,Aw!,0.0,[0.17613171 0.52935934],[ 1.3640082 -1.2946073],0.044718772172927856
31,Tony Stark,iron_man_3.txt,"(to the party of women in the elevator; referring to Hogan as they walk out) Ladies, follow the mullet.(To Maya) Ladies first.",0.25,[0.56927174 0.23065543],[-0.3170888  0.2904825],0.16222183406352997
32,Maya Hansen,iron_man_3.txt,"(to Aldrich as she walks out of the elevator) Thank you, I'll call you.",0.0,[ 1.2509325  -0.45186555],[ 1.4919562 -1.4078454],0.12787099182605743
33,Tony Stark,iron_man_3.txt,I'm titillated by the notion of working with you.,0.0,[ 0.5368639  -0.16463602],[ 2.1156397 -2.068032 ],0.17515593767166138
34,Aldrich Killian,iron_man_3.txt,Yeah?,0.0,[ 0.8216908  -0.10445262],[ 1.205829  -1.1815833],0.02401787042617798
35,Tony Stark,iron_man_3.txt,"Yeah, cheese clown. I'll see you up on the roof in five minutes. [steps out of the elevator] I'm just going to try to get my beef wet real quick. You know what I'm talkin' about?",0.2,[ 1.2702076 -0.6163669],[ 0.9011073 -0.9178041],0.1775120347738266
36,Aldrich Killian,iron_man_3.txt,I'll see you up there.,0.0,[ 1.3011321  -0.51067364],[ 1.3955604 -1.2745761],0.17168453335762024
37,Tony Stark,iron_man_3.txt,Damn betcha.,0.0,[0.5180944  0.09080071],[ 1.079997  -1.0224482],0.025333166122436523
38,Tony Stark,iron_man_3.txt,Come on! I thought that was just a theory.,0.0,[ 0.7496546  -0.03946674],[ 1.4821552 -1.450876 ],0.0518379807472229
39,Maya Hansen,iron_man_3.txt,"Well, it was. If I'm right, we can access the area of the brain that governs repair...",0.2857142857142857,[0.392089   0.04538348],[ 2.0622277 -1.9568797],0.030170857906341553
40,Tony Stark,iron_man_3.txt,Wow.,0.1,[-0.23829356  0.8402889 ],[ 1.0188035  -0.94825435],0.0306379497051239
41,Maya Hansen,iron_man_3.txt,...And chemically recode it.,0.0,[-0.3061925   0.71466774],[ 1.5194832 -1.498314 ],0.02770930528640747
42,Tony Stark,iron_man_3.txt,That's incredible. Essentially you're hacking into the genetic...,0.45,[-0.7660715  0.8857043],[ 1.6434658 -1.6812288],0.06360229849815369
43,Tony Stark,iron_man_3.txt,...of a...,0.0,[ 0.9817508  -0.28558803],[ 1.3134058 -1.2335888],0.029504239559173584
44,Maya Hansen,iron_man_3.txt,Exactly.,0.25,[0.10223784 0.4836308 ],[ 1.0705729  -0.93674684],0.029907166957855225
45,Maya Hansen,iron_man_3.txt,Yes.,0.0,[0.35707045 0.19407645],[ 0.7713877 -0.6977943],0.02911853790283203
46,Tony Stark,iron_man_3.txt,Wow.,0.1,[-0.23829356  0.8402889 ],[ 1.0188035  -0.94825435],0.0306379497051239
47,Maya Hansen,iron_man_3.txt,Is that... Can you...,0.0,[ 1.7924666 -1.0467055],[ 1.7691098 -1.8647014],0.1284651756286621
48,Happy Hogan,iron_man_3.txt,What?,0.0,[ 1.4070889  -0.49027973],[ 1.2503315 -1.1553091],0.03506931662559509
49,Maya Hansen,iron_man_3.txt,Can you not touch my plant. It's not...she doesn't like it. She prefers...,0.0,[ 2.1277175 -1.5679656],[ 0.7538657 -0.7152184],0.09758719801902771
